id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
9432,2026-08-01,00:15:00,0.0,0.0,,
9433,2026-08-01,00:30:00,0.0,0.0,,
9434,2026-08-01,00:45:00,0.0,0.0,,
9435,2026-08-01,01:00:00,0.0,0.0,,
9436,2026-08-01,01:15:00,0.0,0.0,,
9437,2026-08-01,01:30:00,0.0,0.0,,
9438,2026-08-01,01:45:00,0.0,0.0,,
9439,2026-08-01,02:00:00,0.0,0.0,,
9440,2026-08-01,02:15:00,0.0,0.0,,
9441,2026-08-01,02:30:00,0.0,0.0,,
9442,2026-08-01,02:45:00,0.0,0.0,,
9443,2026-08-01,03:00:00,0.0,0.0,,
9444,2026-08-01,03:15:00,0.0,0.0,,
9445,2026-08-01,03:30:00,0.0,0.0,,
9446,2026-08-01,03:45:00,0.0,0.0,,
9447,2026-08-01,04:00:00,0.0,0.0,,
9448,2026-08-01,04:15:00,0.0,0.0,,
9449,2026-08-01,04:30:00,0.0,0.0,,
9450,2026-08-01,04:45:00,0.0,0.0,,
9451,2026-08-01,05:00:00,0.0,0.0,,
9452,2026-08-01,05:15:00,0.0,0.0,,
9453,2026-08-01,05:30:00,0.0,0.0,,
9454,2026-08-01,05:45:00,0.0,0.0,,
9455,2026-08-01,06:00:00,0.0,0.0,,
9456,2026-08-01,06:15:00,0.0,0.0,,
9457,2026-08-01,06:30:00,0.0,0.0,,
9458,2026-08-01,06:45:00,0.0,0.0,,
9459,2026-08-01,07:00:00,0.0,0.0,,
9460,2026-08-01,07:15:00,0.0,0.0,,
9461,2026-08-01,07:30:00,0.0,0.0,,
9462,2026-08-01,07:45:00,0.0,0.0,,
9463,2026-08-01,08:00:00,0.0,0.0,,
9464,2026-08-01,08:15:00,0.0,0.0,,
9465,2026-08-01,08:30:00,0.0,1.6,ENE,ENE
9466,2026-08-01,08:45:00,0.0,1.6,WSW,W
9467,2026-08-01,09:00:00,0.0,0.0,,
9468,2026-08-01,09:15:00,0.0,6.4,NE,E
9469,2026-08-01,09:30:00,0.0,6.4,ENE,E
9470,2026-08-01,09:45:00,0.0,1.6,ESE,ENE
9471,2026-08-01,10:00:00,0.0,3.2,NNW,NNE
9472,2026-08-01,10:15:00,0.0,6.4,E,E
9473,2026-08-01,10:30:00,0.0,4.8,E,WNW
9474,2026-08-01,10:45:00,0.0,4.8,NE,NE
9475,2026-08-01,11:00:00,0.0,6.4,E,NW
9476,2026-08-01,11:15:00,0.0,6.4,WSW,WSW
9477,2026-08-01,11:30:00,1.6,9.7,NNW,W
9478,2026-08-01,11:45:00,1.6,8.0,NW,NE
9479,2026-08-01,12:00:00,1.6,6.4,WNW,E
9480,2026-08-01,12:15:00,1.6,11.3,W,NW
9481,2026-08-01,12:30:00,3.2,11.3,W,W
9482,2026-08-01,12:45:00,3.2,12.9,WSW,WSW
9483,2026-08-01,13:00:00,1.6,11.3,SW,WSW
9484,2026-08-01,13:15:00,3.2,16.1,SW,S
9485,2026-08-01,13:30:00,1.6,12.9,SW,SW
9486,2026-08-01,13:45:00,1.6,8.0,W,W
9487,2026-08-01,14:00:00,1.6,12.9,WSW,W
9488,2026-08-01,14:15:00,1.6,11.3,NNW,NW
9489,2026-08-01,14:30:00,1.6,8.0,NNW,WSW
9490,2026-08-01,14:45:00,1.6,8.0,NW,NW
9491,2026-08-01,15:00:00,3.2,16.1,WSW,WNW
9492,2026-08-01,15:15:00,1.6,12.9,WSW,WNW
9493,2026-08-01,15:30:00,1.6,9.7,WSW,NW
9494,2026-08-01,15:45:00,1.6,6.4,NW,W
9495,2026-08-01,16:00:00,1.6,8.0,WSW,SW
9496,2026-08-01,16:15:00,1.6,4.8,W,WSW
9497,2026-08-01,16:30:00,0.0,4.8,NNW,SSW
9498,2026-08-01,16:45:00,0.0,4.8,NNW,NW
9499,2026-08-01,17:00:00,0.0,4.8,ENE,ENE
9500,2026-08-01,17:15:00,0.0,1.6,ENE,ENE
9501,2026-08-01,17:30:00,0.0,0.0,,
9502,2026-08-01,17:45:00,0.0,3.2,NNE,NNE
9503,2026-08-01,18:00:00,0.0,9.7,WSW,NW
9504,2026-08-01,18:15:00,3.2,11.3,W,S
9505,2026-08-01,18:30:00,4.8,16.1,WSW,SW
9506,2026-08-01,18:45:00,4.8,12.9,WSW,WNW
9507,2026-08-01,19:00:00,1.6,12.9,W,NNW
9508,2026-08-01,19:15:00,0.0,0.0,,
9509,2026-08-01,19:30:00,0.0,1.6,WNW,WNW
9510,2026-08-01,19:45:00,0.0,3.2,W,W
9511,2026-08-01,20:00:00,0.0,0.0,,
9512,2026-08-01,20:15:00,0.0,1.6,N,N
9513,2026-08-01,20:30:00,0.0,3.2,W,W
9514,2026-08-01,20:45:00,0.0,0.0,,
9515,2026-08-01,21:00:00,0.0,1.6,W,N
9516,2026-08-01,21:15:00,0.0,0.0,,
9517,2026-08-01,21:30:00,0.0,0.0,,
9518,2026-08-01,21:45:00,0.0,0.0,,
9519,2026-08-01,22:00:00,0.0,0.0,,
9520,2026-08-01,22:15:00,0.0,0.0,,
9521,2026-08-01,22:30:00,0.0,0.0,,
9522,2026-08-01,22:45:00,0.0,0.0,,
9523,2026-08-01,23:00:00,0.0,0.0,,
9524,2026-08-01,23:15:00,0.0,0.0,,
9525,2026-08-01,23:30:00,0.0,0.0,,
9526,2026-08-01,23:45:00,0.0,0.0,,
9527,2026-08-02,00:15:00,0.0,0.0,,
9528,2026-08-02,00:30:00,0.0,0.0,,
9529,2026-08-02,00:45:00,0.0,0.0,,
9530,2026-08-02,01:00:00,0.0,0.0,,
9531,2026-08-02,01:15:00,0.0,0.0,,
9532,2026-08-02,01:30:00,0.0,0.0,,
9533,2026-08-02,01:45:00,0.0,0.0,,
9534,2026-08-02,02:00:00,0.0,0.0,,
9535,2026-08-02,02:15:00,0.0,0.0,,
9536,2026-08-02,02:30:00,0.0,0.0,,
9537,2026-08-02,02:45:00,0.0,0.0,,
9538,2026-08-02,03:00:00,0.0,0.0,,
9539,2026-08-02,03:15:00,0.0,0.0,,
9540,2026-08-02,03:30:00,0.0,0.0,,
9541,2026-08-02,03:45:00,0.0,0.0,,
9542,2026-08-02,04:00:00,0.0,0.0,,
9543,2026-08-02,04:15:00,0.0,0.0,,
9544,2026-08-02,04:30:00,0.0,0.0,,
9545,2026-08-02,04:45:00,0.0,0.0,,
9546,2026-08-02,05:00:00,0.0,0.0,,
9547,2026-08-02,05:15:00,0.0,0.0,,
9548,2026-08-02,05:30:00,0.0,0.0,,
9549,2026-08-02,05:45:00,0.0,0.0,,
9550,2026-08-02,06:00:00,0.0,0.0,,
9551,2026-08-02,06:15:00,0.0,3.2,NW,NW
9552,2026-08-02,06:30:00,0.0,0.0,,
9553,2026-08-02,06:45:00,0.0,0.0,,
9554,2026-08-02,07:00:00,0.0,3.2,WSW,WSW
9555,2026-08-02,07:15:00,0.0,3.2,WNW,WSW
