id,fecha,hora,lluvia_mm,tasa_mm_hr
9432,2026-08-01,00:15:00,0.0,0.0
9433,2026-08-01,00:30:00,0.0,0.0
9434,2026-08-01,00:45:00,0.0,0.0
9435,2026-08-01,01:00:00,0.0,0.0
9436,2026-08-01,01:15:00,0.0,0.0
9437,2026-08-01,01:30:00,0.0,0.0
9438,2026-08-01,01:45:00,0.0,0.0
9439,2026-08-01,02:00:00,0.0,0.0
9440,2026-08-01,02:15:00,0.0,0.0
9441,2026-08-01,02:30:00,0.0,0.0
9442,2026-08-01,02:45:00,0.0,0.0
9443,2026-08-01,03:00:00,0.0,0.0
9444,2026-08-01,03:15:00,0.0,0.0
9445,2026-08-01,03:30:00,0.0,0.0
9446,2026-08-01,03:45:00,0.0,0.0
9447,2026-08-01,04:00:00,0.0,0.0
9448,2026-08-01,04:15:00,0.0,0.0
9449,2026-08-01,04:30:00,0.0,0.0
9450,2026-08-01,04:45:00,0.0,0.0
9451,2026-08-01,05:00:00,0.0,0.0
9452,2026-08-01,05:15:00,0.2,0.0
9453,2026-08-01,05:30:00,0.0,0.0
9454,2026-08-01,05:45:00,0.0,0.0
9455,2026-08-01,06:00:00,0.0,0.0
9456,2026-08-01,06:15:00,0.0,0.0
9457,2026-08-01,06:30:00,0.0,0.0
9458,2026-08-01,06:45:00,0.0,0.0
9459,2026-08-01,07:00:00,0.0,0.0
9460,2026-08-01,07:15:00,0.0,0.0
9461,2026-08-01,07:30:00,0.0,0.0
9462,2026-08-01,07:45:00,0.0,0.0
9463,2026-08-01,08:00:00,0.0,0.0
9464,2026-08-01,08:15:00,0.0,0.0
9465,2026-08-01,08:30:00,0.0,0.0
9466,2026-08-01,08:45:00,0.0,0.0
9467,2026-08-01,09:00:00,0.0,0.0
9468,2026-08-01,09:15:00,0.0,0.0
9469,2026-08-01,09:30:00,0.0,0.0
9470,2026-08-01,09:45:00,0.0,0.0
9471,2026-08-01,10:00:00,0.0,0.0
9472,2026-08-01,10:15:00,0.0,0.0
9473,2026-08-01,10:30:00,0.0,0.0
9474,2026-08-01,10:45:00,0.0,0.0
9475,2026-08-01,11:00:00,0.0,0.0
9476,2026-08-01,11:15:00,0.0,0.0
9477,2026-08-01,11:30:00,0.0,0.0
9478,2026-08-01,11:45:00,0.0,0.0
9479,2026-08-01,12:00:00,0.0,0.0
9480,2026-08-01,12:15:00,0.0,0.0
9481,2026-08-01,12:30:00,0.0,0.0
9482,2026-08-01,12:45:00,0.0,0.0
9483,2026-08-01,13:00:00,0.0,0.0
9484,2026-08-01,13:15:00,0.0,0.0
9485,2026-08-01,13:30:00,0.0,0.0
9486,2026-08-01,13:45:00,0.0,0.0
9487,2026-08-01,14:00:00,0.0,0.0
9488,2026-08-01,14:15:00,0.0,0.0
9489,2026-08-01,14:30:00,0.0,0.0
9490,2026-08-01,14:45:00,0.0,0.0
9491,2026-08-01,15:00:00,0.0,0.0
9492,2026-08-01,15:15:00,0.0,0.0
9493,2026-08-01,15:30:00,0.0,0.0
9494,2026-08-01,15:45:00,0.0,0.0
9495,2026-08-01,16:00:00,0.0,0.0
9496,2026-08-01,16:15:00,0.0,0.0
9497,2026-08-01,16:30:00,0.0,0.0
9498,2026-08-01,16:45:00,0.0,0.0
9499,2026-08-01,17:00:00,0.0,0.0
9500,2026-08-01,17:15:00,0.0,0.0
9501,2026-08-01,17:30:00,0.0,0.0
9502,2026-08-01,17:45:00,0.0,0.0
9503,2026-08-01,18:00:00,0.0,0.0
9504,2026-08-01,18:15:00,0.0,0.0
9505,2026-08-01,18:30:00,0.0,0.0
9506,2026-08-01,18:45:00,0.2,0.0
9507,2026-08-01,19:00:00,2.2,23.6
9508,2026-08-01,19:15:00,0.0,0.0
9509,2026-08-01,19:30:00,0.0,0.0
9510,2026-08-01,19:45:00,0.0,0.0
9511,2026-08-01,20:00:00,0.0,0.0
9512,2026-08-01,20:15:00,0.0,0.0
9513,2026-08-01,20:30:00,0.0,0.0
9514,2026-08-01,20:45:00,0.0,0.0
9515,2026-08-01,21:00:00,0.0,0.0
9516,2026-08-01,21:15:00,0.0,0.0
9517,2026-08-01,21:30:00,0.0,0.0
9518,2026-08-01,21:45:00,0.0,0.0
9519,2026-08-01,22:00:00,0.0,0.0
9520,2026-08-01,22:15:00,0.0,0.0
9521,2026-08-01,22:30:00,0.0,0.0
9522,2026-08-01,22:45:00,0.0,0.0
9523,2026-08-01,23:00:00,0.0,0.0
9524,2026-08-01,23:15:00,0.0,0.0
9525,2026-08-01,23:30:00,0.0,0.0
9526,2026-08-01,23:45:00,0.0,0.0
9527,2026-08-02,00:15:00,0.2,0.0
9528,2026-08-02,00:30:00,0.0,0.0
9529,2026-08-02,00:45:00,0.0,0.0
9530,2026-08-02,01:00:00,0.0,0.0
9531,2026-08-02,01:15:00,0.0,0.0
9532,2026-08-02,01:30:00,0.0,0.0
9533,2026-08-02,01:45:00,0.0,0.0
9534,2026-08-02,02:00:00,0.0,0.0
9535,2026-08-02,02:15:00,0.0,0.0
9536,2026-08-02,02:30:00,0.0,0.0
9537,2026-08-02,02:45:00,0.0,0.0
9538,2026-08-02,03:00:00,0.0,0.0
9539,2026-08-02,03:15:00,0.0,0.0
9540,2026-08-02,03:30:00,0.0,0.0
9541,2026-08-02,03:45:00,0.0,0.0
9542,2026-08-02,04:00:00,0.0,0.0
9543,2026-08-02,04:15:00,0.0,0.0
9544,2026-08-02,04:30:00,0.0,0.0
9545,2026-08-02,04:45:00,0.0,0.0
9546,2026-08-02,05:00:00,0.0,0.0
9547,2026-08-02,05:15:00,0.0,0.0
9548,2026-08-02,05:30:00,0.0,0.0
9549,2026-08-02,05:45:00,0.0,0.0
9550,2026-08-02,06:00:00,0.0,0.0
9551,2026-08-02,06:15:00,0.0,0.0
9552,2026-08-02,06:30:00,0.0,0.0
9553,2026-08-02,06:45:00,0.0,0.0
9554,2026-08-02,07:00:00,0.0,0.0
9555,2026-08-02,07:15:00,0.0,0.0
9556,2026-08-02,07:30:00,0.0,0.0
9557,2026-08-02,07:45:00,0.0,0.0
9558,2026-08-02,08:00:00,0.0,0.0
9559,2026-08-02,08:15:00,0.0,0.0
9560,2026-08-02,08:30:00,0.0,0.0
9561,2026-08-02,08:45:00,0.0,0.0
9562,2026-08-02,09:00:00,0.0,0.0
9563,2026-08-02,09:15:00,0.0,0.0
9564,2026-08-02,09:30:00,0.0,0.0
9565,2026-08-02,09:45:00,0.0,0.0
9566,2026-08-02,10:00:00,0.0,0.0
9567,2026-08-02,10:15:00,0.0,0.0
9568,2026-08-02,10:30:00,0.0,0.0
9569,2026-08-02,10:45:00,0.0,0.0
9570,2026-08-02,11:00:00,0.0,0.0
9571,2026-08-02,11:15:00,0.0,0.0
9572,2026-08-02,11:30:00,0.0,0.0
9573,2026-08-02,11:45:00,0.0,0.0
9574,2026-08-02,12:00:00,0.0,0.0
