id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
12599,2026-09-04,08:15:00,0.0,1.6,NE,NE
12600,2026-09-04,08:30:00,0.0,3.2,SW,WSW
12601,2026-09-04,08:45:00,0.0,1.6,NW,NW
12602,2026-09-04,09:00:00,0.0,0.0,,
12603,2026-09-04,09:15:00,0.0,1.6,NNW,NNW
12604,2026-09-04,09:30:00,0.0,1.6,N,S
12605,2026-09-04,09:45:00,0.0,3.2,WSW,NE
12606,2026-09-04,10:00:00,0.0,3.2,ENE,ENE
12607,2026-09-04,10:15:00,0.0,3.2,ENE,ESE
12608,2026-09-04,10:30:00,0.0,4.8,NNW,W
12609,2026-09-04,10:45:00,0.0,3.2,N,N
12610,2026-09-04,11:00:00,0.0,4.8,NW,NNW
12611,2026-09-04,11:15:00,0.0,4.8,SW,W
12612,2026-09-04,11:30:00,0.0,1.6,W,E
12613,2026-09-04,11:45:00,0.0,11.3,NW,NNW
12614,2026-09-04,12:00:00,0.0,11.3,NW,NW
12615,2026-09-04,12:15:00,0.0,4.8,E,ENE
12616,2026-09-04,12:30:00,1.6,8.0,NNW,NNW
12617,2026-09-04,12:45:00,0.0,4.8,ESE,ESE
12618,2026-09-04,13:00:00,0.0,3.2,E,N
12619,2026-09-04,13:15:00,0.0,4.8,WSW,W
12620,2026-09-04,13:30:00,1.6,11.3,WSW,NNW
12621,2026-09-04,13:45:00,1.6,6.4,W,E
12622,2026-09-04,14:00:00,1.6,9.7,E,E
12623,2026-09-04,14:15:00,0.0,6.4,NNW,E
12624,2026-09-04,14:30:00,0.0,9.7,WSW,NW
12625,2026-09-04,14:45:00,1.6,11.3,W,SSW
12626,2026-09-04,15:00:00,1.6,6.4,SW,NW
12627,2026-09-04,15:15:00,1.6,9.7,SSE,W
12628,2026-09-04,15:30:00,1.6,8.0,WSW,W
12629,2026-09-04,15:45:00,1.6,8.0,W,W
12630,2026-09-04,16:00:00,1.6,9.7,WSW,WSW
12631,2026-09-04,16:15:00,4.8,12.9,WSW,W
12632,2026-09-04,16:30:00,4.8,17.7,W,W
12633,2026-09-04,16:45:00,9.7,20.9,NW,W
12634,2026-09-04,17:00:00,4.8,17.7,SW,W
12635,2026-09-04,17:15:00,4.8,17.7,WSW,W
12636,2026-09-04,17:30:00,6.4,25.7,WSW,W
12637,2026-09-04,17:45:00,4.8,12.9,WNW,WSW
12638,2026-09-04,18:00:00,3.2,11.3,WNW,W
12639,2026-09-04,18:15:00,1.6,9.7,W,W
12640,2026-09-04,18:30:00,1.6,11.3,NW,W
12641,2026-09-04,18:45:00,1.6,6.4,NW,W
12642,2026-09-04,19:00:00,0.0,4.8,WSW,NW
12643,2026-09-04,19:15:00,0.0,4.8,N,W
12644,2026-09-04,19:30:00,0.0,1.6,W,W
12645,2026-09-04,19:45:00,0.0,4.8,NW,NNW
12646,2026-09-04,20:00:00,0.0,8.0,W,NNW
12647,2026-09-04,20:15:00,0.0,3.2,WSW,WNW
12648,2026-09-04,20:30:00,0.0,8.0,N,WNW
12649,2026-09-04,20:45:00,0.0,1.6,WNW,W
12650,2026-09-04,21:00:00,0.0,3.2,W,W
12651,2026-09-04,21:15:00,1.6,8.0,S,SW
12652,2026-09-04,21:30:00,1.6,9.7,SW,W
12653,2026-09-04,21:45:00,1.6,9.7,SW,WSW
12654,2026-09-04,22:00:00,0.0,6.4,SSW,SW
12655,2026-09-04,22:15:00,0.0,3.2,W,W
12656,2026-09-04,22:30:00,0.0,4.8,SSW,WSW
12657,2026-09-04,22:45:00,0.0,3.2,W,W
12658,2026-09-04,23:00:00,0.0,1.6,SW,SW
12659,2026-09-04,23:15:00,0.0,0.0,,
12660,2026-09-04,23:30:00,0.0,0.0,,
12661,2026-09-04,23:45:00,0.0,0.0,,
12662,2026-09-05,00:15:00,0.0,1.6,NNW,NNW
12663,2026-09-05,00:30:00,0.0,4.8,WSW,NNE
12664,2026-09-05,00:45:00,0.0,1.6,N,W
12665,2026-09-05,01:00:00,0.0,1.6,N,NNW
12666,2026-09-05,01:15:00,0.0,0.0,,
12667,2026-09-05,01:30:00,0.0,0.0,,
12668,2026-09-05,01:45:00,0.0,0.0,,
12669,2026-09-05,02:00:00,0.0,0.0,,
12670,2026-09-05,02:15:00,0.0,0.0,,
12671,2026-09-05,02:30:00,0.0,0.0,,
12672,2026-09-05,02:45:00,0.0,0.0,,
12673,2026-09-05,03:00:00,0.0,0.0,,
12674,2026-09-05,03:15:00,0.0,0.0,,
12675,2026-09-05,03:30:00,0.0,0.0,,
12676,2026-09-05,03:45:00,0.0,0.0,,
12677,2026-09-05,04:00:00,0.0,0.0,,
12678,2026-09-05,04:15:00,0.0,0.0,,
12679,2026-09-05,04:30:00,0.0,0.0,,
12680,2026-09-05,04:45:00,0.0,0.0,,
12681,2026-09-05,05:00:00,0.0,1.6,NW,NW
12682,2026-09-05,05:15:00,0.0,0.0,,
12683,2026-09-05,05:30:00,0.0,0.0,,
12684,2026-09-05,05:45:00,0.0,0.0,,
12685,2026-09-05,06:00:00,0.0,0.0,,
12686,2026-09-05,06:15:00,0.0,0.0,,
12687,2026-09-05,06:30:00,0.0,0.0,,
12688,2026-09-05,06:45:00,0.0,0.0,,
12689,2026-09-05,07:00:00,0.0,0.0,,
12690,2026-09-05,07:15:00,0.0,0.0,,
12691,2026-09-05,07:30:00,0.0,0.0,,
12692,2026-09-05,07:45:00,0.0,0.0,,
12693,2026-09-05,08:00:00,0.0,1.6,N,N
12694,2026-09-05,08:15:00,0.0,3.2,WSW,SW
12695,2026-09-05,08:30:00,0.0,0.0,,
12696,2026-09-05,08:45:00,0.0,1.6,SW,SW
12697,2026-09-05,09:00:00,0.0,3.2,W,W
12698,2026-09-05,09:15:00,1.6,6.4,E,ENE
12699,2026-09-05,09:30:00,0.0,4.8,NNW,WNW
12700,2026-09-05,09:45:00,0.0,4.8,WSW,NNW
12701,2026-09-05,10:00:00,0.0,6.4,E,E
12702,2026-09-05,10:15:00,1.6,6.4,E,E
12703,2026-09-05,10:30:00,0.0,4.8,E,E
12704,2026-09-05,10:45:00,1.6,6.4,ENE,E
12705,2026-09-05,11:00:00,1.6,8.0,WNW,NW
12706,2026-09-05,11:15:00,1.6,9.7,E,ESE
12707,2026-09-05,11:30:00,1.6,6.4,E,E
12708,2026-09-05,11:45:00,1.6,9.7,NW,NW
12709,2026-09-05,12:00:00,1.6,8.0,NW,E
12710,2026-09-05,12:15:00,0.0,4.8,E,E
12711,2026-09-05,12:30:00,1.6,8.0,WNW,NNW
12712,2026-09-05,12:45:00,1.6,9.7,ESE,E
12713,2026-09-05,13:00:00,1.6,8.0,E,E
12714,2026-09-05,13:15:00,0.0,4.8,SE,WNW
12715,2026-09-05,13:30:00,1.6,8.0,W,E
12716,2026-09-05,13:45:00,1.6,11.3,WSW,W
12717,2026-09-05,14:00:00,1.6,6.4,E,E
12718,2026-09-05,14:15:00,1.6,6.4,NNE,NNW
12719,2026-09-05,14:30:00,0.0,6.4,NW,NNW
12720,2026-09-05,14:45:00,3.2,14.5,WSW,W
12721,2026-09-05,15:00:00,1.6,11.3,NNW,SW
12722,2026-09-05,15:15:00,1.6,9.7,NW,NNW
12723,2026-09-05,15:30:00,3.2,16.1,WSW,WSW
12724,2026-09-05,15:45:00,4.8,22.5,WNW,SW
12725,2026-09-05,16:00:00,1.6,12.9,WNW,N
12726,2026-09-05,16:15:00,1.6,8.0,S,WSW
12727,2026-09-05,16:30:00,1.6,11.3,WSW,W
12728,2026-09-05,16:45:00,0.0,3.2,W,E
12729,2026-09-05,17:00:00,3.2,12.9,NW,NW
